"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A comparison of extreme value theory approaches for determining value at risk","https://scispace.com/paper/a-comparison-of-extreme-value-theory-approaches-for-14ww9y382h","2004","Posted Content","Social Science Research Network","Chris Brooks
Andrew Clare
John W. Dalle Molle
Gita Persand","","https://centaur.reading.ac.uk/20555/1/20555.pdf","… extreme value tail estimation approaches, with a small sample bias-… extreme value approach, and with those calculated from bootstrapping the unconditional density and bootstrapping …","This paper compares a number of different extreme value models for determining the value at risk of three LIFFE futures contracts. A semi-nonparametric approach is also proposed where the tail events are modeled using the Generalised Pareto Distribution and normal market conditions are captured by the empirical distribution function. The value at risk estimates from this approach are compared with those of standard nonparametric extreme value tail estimation approaches, with a small sample bias-corrected extreme value approach, and with those calculated from bootstrapping the unconditional density and bootstrapping from a GARCH(1,1) model. The results indicate that for a hold-out sample, the proposed semi-nonparametric extreme value approach yields superior results to other methods, but the small sample tail index technique is also accurate."
"Estimation of tail-related risk measures for heteroscedastic financial time series: an extreme value approach","https://scispace.com/paper/estimation-of-tail-related-risk-measures-for-heteroscedastic-4q9icbv7zx","2000","Journal Article","Journal of Empirical Finance","Alexander J. McNeil
Rüdiger Frey","10.1016/S0927-5398(00)00012-8","http://faculty.washington.edu/ezivot/econ589/EVT_Mcneil_Frey_2000.pdf","… to estimate the current volatility and extreme value theory (… measure of tail risk with better theoretical properties than the … To test the hypothesis of mean zero we use a bootstrap test …",""
"Pitfalls and opportunities in the use of extreme value theory in risk management","https://scispace.com/paper/pitfalls-and-opportunities-in-the-use-of-extreme-value-4nupeh9dit","1998","Posted Content","Social Science Research Network","Francis X. Diebold
Francis X. Diebold
Til Schuermann
John D. Stroughair","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1298286","… as ""extreme value theory"" (EVT): One can estimate extreme … bootstrap method for selecting m and establish optimality proper ties. We look forward to continued exploration of boot strap …","Recent literature has trumpeted the claim that extreme value theory (EVT) holds promise for accurate estimation of extreme quantiles and tail probabilities of financial asset returns, and hence hold promise for advances in the management of extreme financial risks. Our view, based on a disinterested assessment of EVT from the vantage point of financial risk management, is that the recent optimism is partly appropriate but also partly exaggerated, and that at any rate much of the potential of EVT remains latent. We substantiate this claim by sketching a number of pitfalls associate with use of EVT techniques. More constructively, we show how certain of the pitfalls can be avoided, and we sketch a number of explicit research directions that will help the potential of EVT to be realized."
"High volatility, thick tails and extreme value theory in value-at-risk estimation","https://scispace.com/paper/high-volatility-thick-tails-and-extreme-value-theory-in-3mq9w730hf","2003","Journal Article","Insurance Mathematics & Economics","Ramazan Gençay
Faruk Selcuk
Abdurrahman Ulugülyaǧci","10.1016/J.INSMATHECO.2003.07.004","https://repository.bilkent.edu.tr/bitstream/handle/11693/24416/High%20volatility%2C%20thick%20tails%20and%20extreme%20value%20theory%20in%20value-at-risk%20estimation.pdf?sequence=1","In this paper, the performance of the extreme value theory in value-at-risk calculations is compared to the performances of other well-known modeling techniques, such as GARCH, …","In this paper, the performance of the extreme value theory in value-at-risk calculations is compared to the performances of other well-known modeling techniques, such as GARCH, variance–covariance (Var–Cov) method and historical simulation in a volatile stock market. The models studied can be classified into two groups. The first group consists of GARCH(1, 1) and GARCH(1, 1)-t models which yield highly volatile quantile forecasts. The other group, consisting of historical simulation, Var–Cov approach, adaptive generalized Pareto distribution (GPD) and nonadaptive GPD models, leads to more stable quantile forecasts. The quantile forecasts of GARCH(1, 1) models are excessively volatile relative to the GPD quantile forecasts. This makes the GPD model be a robust quantile forecasting tool which is practical to implement and regulate for VaR measurements."
"Estimation of tail-related value-at-risk measures: range-based extreme value approach","https://scispace.com/paper/estimation-of-tail-related-value-at-risk-measures-range-3c2dhrtgiq","2014","Journal Article","Quantitative Finance","Heng-Chih Chou
David K. Wang","10.1080/14697688.2013.819113","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2278292","… Extreme value theory (EVT) provides a firm theoretical … This paper deals with the behaviour of the tails of financial time … to compute the primary tail risk measure, the value-at-risk (VaR).…","This study proposes a new approach for estimating value-at-risk (VaR). This approach combines quasi-maximum-likelihood fitting of asymmetric conditional autoregressive range (ACARR) models to estimate the current volatility and classical extreme value theory (EVT) to estimate the tail of the innovation distribution of the ACARR model. The proposed approach reflects two well-known phenomena found in most financial time series: stochastic volatility and the fat-tailedness of conditional distributions. This approach presents two main advantages over the McNeil and Frey approach. First, the ACARR model in this approach is an asymmetric model that treats the upward and downward movements of the asset price asymmetrically, whereas the generalized autoregressive conditional heteroskedasticity model in the McNeil and Frey approach is a symmetric model that ignores the asymmetric structure of the asset price. Second, the proposed method uses classical EVT to estimate the tail of the distribution of the residuals t..."
"Extreme value theory in finance: A survey","https://scispace.com/paper/extreme-value-theory-in-finance-a-survey-v1z0ix6pts","2014","Journal Article","Journal of Economic Surveys","Marco Rocco","10.1111/J.1467-6419.2012.00744.X","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1998740","… Extreme value theory is concerned with the study of the asymptotic distribution of extreme … Both methods yield accurate estimates of the tail risk in the cases analysed; the latter seems …","Extreme value theory is concerned with the study of the asymptotic distribution of extreme events, that is to say events which are rare in frequency and huge in magnitude with respect to the majority of observations. Statistical methods derived from it have been employed increasingly in finance, especially for risk measurement. This paper surveys some of those main applications, namely for testing different distributional assumptions for the data, for Value‐at‐Risk and Expected Shortfall calculations, for asset allocation under safety‐first type constraints, and for the study of contagion and dependence across markets under conditions of stress."
"The bootstrap methodology and adaptive reduced-bias tail index and Value-at-Risk estimation","https://scispace.com/paper/the-bootstrap-methodology-and-adaptive-reduced-bias-tail-47kfwinrhg","2009","","","M. Ivette Gomes
Sandra Mendon
Dinis Pestana","","http://ceaul.org/wp-content/uploads/2018/10/ASMDANC.pdf","… In this paper, we deal with the semi-parametric estimation of a positive extreme value index … of Extremes. We are also interested in the associated estimation of the Value at Risk at a …","Under a semi-parametric framework, we consider second-order minimum-variance reduced-bias (MVRB) estimators of a positive extreme value index, the primary parameter in Statistics of Extremes, and associated estimation of the Value at Risk (V aR) at a level p, the size of the loss occurred with a small probability p. For these MVRB estimators, we propose the use of bootstrap computer-intensive methods for the adaptive choice of thresholds. Applications in the elds of insurance"
"Which extreme values are really extreme?","https://scispace.com/paper/which-extreme-values-are-really-extreme-2f2596fzyv","2004","Journal Article","Journal of Financial Econometrics","Jesus Gonzalo
Jose Olmo","10.1093/JJFINEC/NBH014","http://fmwww.bc.edu/RePEc/esNAWM04/up.7510.1048448319.pdf","… of identifying and estimating the extreme values of any random … some general results of extreme value theory, focusing on the … Therefore we propose bootstrap confidence intervals in …","We define the extreme values of any random sample of size n from a distribution function F as the observations exceeding a threshold and following a type of generalized Pareto distribution (GPD) involving the tail index of F. The threshold is the order statistic that minimizes a Kolmogorov-Smirnov statistic between the empirical distribution of the corresponding largest observations and the corresponding GPD. To formalize the definition we use a semiparametric bootstrap to test the corresponding GPD approximation. Finally, we use our methodology to estimate the tail index and value at risk (VaR) of some financial indexes of major stock markets."
"Extreme returns, tail estimation, and value-at-risk","https://scispace.com/paper/extreme-returns-tail-estimation-and-value-at-risk-22va0jvprp","1997","Posted Content","Research Papers in Economics","Jon Danielsson","","https://www.fmg.ac.uk/sites/default/files/2020-11/dp273.pdf","… estimation of the tails. These methods build upon recent research in extreme value theory, … This value can be estimated by the bootstrap estimator of Danielsson and de Vries (1997a). …","Accurate prediction of extreme events are of primary importance in many financial applications. The properties of historical simulation and Risk Metrics techniques for computing Valu-at Risk (VaR) are compared with a method which involves modelling the tails of financial returns explicitly with a tail estimator. The methods are compared using a sample of U.S. stock returns. For predictions of low probability worst outcomes, RiskMetrics type analysis underpredicts while historical simulation overpredicts. However, the estimates obtained from applying the tail estimator are more accurate in the VaR prediction. This implies that capital requirements can be lower by doing VaR with the tail estimator."
"Value at risk estimation using the GARCH-EVT approach with optimal tail selection","https://scispace.com/paper/value-at-risk-estimation-using-the-garch-evt-approach-with-385tlze35e","2020","Journal Article","","Krzysztof Echaust
Małgorzata Just","10.3390/MATH8010114","https://www.mdpi.com/2227-7390/8/1/114/pdf","… The Extreme Value Theory (EVT) provides a theoretical and … the asymptotic MSE, especially bootstrap-based methods, do … Most investors believe that the left tail risk is higher than the …","A conditional Extreme Value Theory (GARCH-EVT) approach is a two-stage hybrid method that combines a Generalized Autoregressive Conditional Heteroskedasticity (GARCH) filter with the Extreme Value Theory (EVT). The approach requires pre-specification of a threshold separating distribution tails from its middle part. The appropriate choice of a threshold level is a demanding task. In this paper we use four different optimal tail selection algorithms, i.e., the path stability method, the automated Eye-Ball method, the minimization of asymptotic mean squared error method and the distance metric method with a mean absolute penalty function, to estimate out-of-sample Value at Risk (VaR) forecasts and compare them to the fixed threshold approach. Unlike other studies, we update the optimal fraction of the tail for each rolling window of the returns. The research objective is to verify to what extent optimization procedures can improve VaR estimates compared to the fixed threshold approach. Results are presented for a long and a short position applying 10 world stock indices in the period from 2000 to June 2019. Although each approach generates different threshold levels, the GARCH-EVT model produces similar Value at Risk estimates. Therefore, no improvement of VaR accuracy may be observed relative to the conservative approach taking the 95th quantile of returns as a threshold."
