"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Application of Extreme Value Theory to Economic Capital Estimation","https://scispace.com/paper/application-of-extreme-value-theory-to-economic-capital-3fsr4uozqi","2010","Book Chapter","","Samit Paul
Andrew Barnes","10.1007/978-0-8176-4799-5_27","","We are interested in the risk of large losses of certain common financial portfolios (e.g., credit portfolios with default risk). In these cases, we would like to estimate a risk statistic called Value-at-Risk (VaRα) at an extremely high risk level α (typically 99.99%). This high risk level corresponds to rare events for which it is difficult or impossible to obtain data. We first use Monte Carlo simulation to compute a probability distribution for the portfolio loss. We then use Extreme Value Theory (EVT) to study the tail of this loss distribution. Finally we compute the VaR and associated confidence intervals using bootstrap techniques. For the portfolios under consideration, we have observed that the EVT-based approach results in narrower confidence intervals and hence less sampling uncertainty in computing the VaR. We have also observed that the bootstrap replicate’s distribution for the EVT-based method demonstrates a better shape than the empirical method (which is typically very noisy).","In this paper, the authors use Monte Carlo simulation to compute a probability distribution for the portfolio loss and then use Extreme Value Theory (EVT) to study the tail of this loss distribution."
"Adaptive Reduced-Bias Tail Index and VaR Estimation via the Bootstrap Methodology","https://scispace.com/paper/adaptive-reduced-bias-tail-index-and-var-estimation-via-the-2cqgetmw5n","2011","Journal Article","Communications in Statistics-theory and Methods","M. Ivette Gomes
Sandra Mendonça
Dinis Pestana","10.1080/03610926.2011.562782","","In this article, we deal with the estimation, under a semi-parametric framework, of a positive extreme value index γ, the primary parameter in Statistics of Extremes, and associated estimation of the Value at Risk (VaR) at a level p, the size of the loss occurred with a small probability p. We consider second-order minimum-variance reduced-bias (MVRB) estimators, and propose the use of bootstrap computer-intensive methods for the adaptive choice of thresholds, both for γ and Var p . Applications in the fields of insurance and finance, as well as a small-scale simulation study of the bootstrap adaptive estimators’ behaviour, are also provided.","In this paper, the estimation of a positive extreme value index γ, the primary parameter in the Statistics of Extremes, and associated estimation of the Value at Risk (VaR) at a level p, the size of the loss occurred with a small probability p, and the use of bootstrap computer-intensive methods for the adaptive choice of thresholds, both for γ and Var p."
"Estimating Value at Risk and Expected Shortfall: A Brief Review and Some
  New Developments","https://scispace.com/paper/estimating-value-at-risk-and-expected-shortfall-a-brief-2wu1yjjztz","2024","Preprint","","Kanon Kamronnaher
Andrew Bellucco
Whitney K. Huang
Colin Gallagher","10.48550/arxiv.2405.06798","https://scispace.compdf/estimating-value-at-risk-and-expected-shortfall-a-brief-2wu1yjjztz.pdf","Value-at-risk (VaR) and expected shortfall (ES) are two commonly utilized metrics for quantifying financial risk. In this study, we review the widely employed Generalized Autoregressive Conditional Heteroskedasticity (GARCH) models. These models are explored with diverse distributional assumptions on innovation, including parametric, non-parametric, and `semi-parametric' that incorporates a parametric tail distribution based on extreme value theory. Additionally, we introduce a non-parametric local linear quantile autoregression (LLQAR) with kernel weights depending on the distance between the current loss and past losses, and decreasing in the time lag. To evaluate the performance of different methods for VaR and ES estimation, we employ a multi-criteria approach. This involves mean squared error assessment using simulated data, backtesting on both simulated data and US stocks, and application of the ESBootstrap test. The LLQAR method, which does not necessarily require stationarity assumptions, seems to perform better for simulated non-stationary data as well as real-world data, for estimating VaR and ES. ","VaR and ES estimation methods are reviewed and new developments are introduced. GARCH models and LLQAR are compared using various evaluation criteria. LLQAR performs better for non-stationary data and real-world data."
"Extreme Risk, Value-At-Risk And Expected Shortfall In The Gold Market","https://scispace.com/paper/extreme-risk-value-at-risk-and-expected-shortfall-in-the-3u95byfzfh","2014","Journal Article","","Knowledge Chinhamu
Chun-Kai Huang
Chun-Sung Huang
Delson Chikobvu","10.19030/IBER.V14I1.9035","https://scispace.com/pdf/extreme-risk-value-at-risk-and-expected-shortfall-in-the-3u95byfzfh.pdf","Extreme value theory (EVT) has been widely applied in fields such as hydrology and insurance. It is a tool used to reflect on probabilities associated with extreme, and thus rare, events. EVT is useful in modeling the impact of crashes or situations of extreme stress on investor portfolios. It describes the behavior of maxima or minima in a time series, i.e., tails of a distribution. In this paper, we propose the use of generalised Pareto distribution (GPD) to model extreme returns in the gold market. This method provides effective means of estimating tail risk measures such as Value-at-Risk (VaR) and Expected Shortfall (ES). This is confirmed by various backtesting procedures. In particular, we utilize the Kupiec unconditional coverage test and the Christoffersen conditional coverage test for VaR backtesting, while the Bootstrap test is used for ES backtesting. The results indicate that GPD is superior to the traditional Gaussian and Student’s t models for VaR and ES estimations.","In this paper, the authors proposed the use of generalised Pareto distribution (GPD) to model extreme returns in the gold market, which provides effective means of estimating tail risk measures such as Value-at-Risk (VaR) and Expected Shortfall (ES)."
"Empirical Analysis of Value-at-Risk Estimation Methods Using Extreme Value Theory","https://scispace.com/paper/empirical-analysis-of-value-at-risk-estimation-methods-using-va6bcv26aokt","","","","TIAN Hong-wei
ZHAN Yuan-rui
QIU Jun","10.3321/j.issn:1000-6788.2000.10.004","","This paper investigates methods of value-at-risk (VaR) estimation using extreme value theory (EVT). Itcompares two different estimation methods, 。two-step subsample bootstrap' based on moment estimation and maximumlikelihood estimation (MLE), according to their theoretical bases and computation procedures. Then, the estimationresults are analyzed together with those of normal method and empirical method. The empirical research of foreignexchange data shows that the EVT methods have good characters in estimating VaR under extreme conditions and'two-step subsample bootstrap' method is preferable to MLE.","This study compares two EVT-based VaR estimation methods, ""two-step subsample bootstrap"" and maximum likelihood estimation, with normal and empirical methods, finding that EVT methods perform well under extreme conditions, with ""two-step subsample bootstrap"" being preferable."
"Estimating and Forecasting Conditional Risk Measures with Extreme Value Theory: A Review","https://scispace.com/paper/estimating-and-forecasting-conditional-risk-measures-with-fclds1xz9j","2018","Journal Article","","Marco Bee
Luca Trapin","10.3390/RISKS6020045","https://www.mdpi.com/2227-9091/6/2/45/pdf","One of the key components of financial risk management is risk measurement. This typically requires modeling, estimating and forecasting tail-related quantities of the asset returns’ conditional distribution. Recent advances in the financial econometrics literature have developed several models based on Extreme Value Theory (EVT) to carry out these tasks. The purpose of this paper is to review these methods.","In this article, the authors review several models based on Extreme Value Theory (EVT) to carry out risk measurement in financial risk management, which typically requires modeling, estimating and forecasting tail-related quantities of the asset returns' conditional distribution."
"A New Method to Compute Value-at-Risk: Extreme Value Theory","https://scispace.com/paper/a-new-method-to-compute-value-at-risk-extreme-value-theory-1h6jofb0z8","2000","Posted Content","Social Science Research Network","Tian Hongwei","","","As an integrated method to measure finance risks, value-at-risk(VaR) has been investigated widely in recent years. This paper introduces a new model to compute VaR--Extreme Value Theory(EVT). It gives parametric estimations of the tail distribution by means of second order expansion. A procedure and program named ""two step subsample bootstrap"" was developed to find the start point of extreme and to estimate VaR. The computation result of JPY/USD foreign exchange presented at last proved that the EVT method has a good character in estimating VaR.","In this paper, a two-step subsample bootstrap was developed to find the start point of extreme value theory (EVT) and to estimate value-at-risk (VaR)."
"Extreme Value Theory for Risk Managers","https://scispace.com/paper/extreme-value-theory-for-risk-managers-3oq9beqpzs","1999","","","Alexander J. McNeil","","http://janroman.dhis.org/finance/Risk%20Management/Extreme%20Value%20Theory%20for%20RM.pdf","We provide an overview of the role of extreme value theory (EVT) in risk management (RM), as a method for modelling and measuring extreme risks. We concentrate on the peaks-over-threshold (POT) model and emphasize the generality of this approach. Wherever the tail of a loss distribution is of interest, whether for market, credit, operational or insurance risks, the POT method provides a simple tool for estimating measures of tail risk. In particular we show how the POTmethod may be embedded in a stochastic volatility framework to deliver useful estimates of Value-at-Risk (VaR) and expected shortfall, a coherent alternative to the VaR, for market risks. Further topics of interest, including multivariate extremes, models for stress losses and software for EVT, are also discussed. 1 A General Introduction to Extreme Risk Extreme event risk is present in all areas of risk management. Whether we are concerned with market, credit, operational or insurance risk, one of the greatest challenges to the risk manager is to implement risk management models which allow for rare but damaging events, and permit the measurement of their consequences. This paper may be motivated by any number of concrete risk management problems. In market risk, we might be concerned with the day to day determination of the Value-atRisk (VaR) for the losses we incur on a trading book due to adverse market movements. In credit or operational risk management our goal might be the determination of the risk capital we require as a cushion against irregular losses from credit downgradings and defaults or unforeseen operational problems. Alongside these nancial risks, it is also worth considering insurance risks; the insurance world has considerable experience in the management of extreme risk and many methods which we might now recognize as belonging to extreme value theory have a long Alexander McNeil is Swiss Re Research Fellow at ETH Z urich and gratefully acknowledges the nancial support of Swiss Re. 1 history of use by actuaries. In insurance a typical problem might be pricing or building reserves for products which o er protection against catastrophic losses, such as excess-ofloss (XL) reinsurance treaties concluded with primary insurers. Whatever the type of risk we are considering our approach to its management will be similar in this paper. We will attempt to model it in such away that the possibility of an extreme outcome is addressed. Using our model we will attempt to measure the risk with a measurement which provides information about the extreme outcome. In these activities extreme value theory (EVT) will provide the tools we require. 1.1 Modelling Extreme Risks The standard mathematical approach to modelling risks uses the language of probability theory. Risks are random variables, mapping unforeseen future states of the world into values representing pro ts and losses. These risks may be considered individually, or seen as part of a stochastic process where present risks depend on previous risks. The potential values of a risk have a probability distribution which we will never observe exactly although past losses due to similar risks, where available, may provide partial information about that distribution. Extreme events occur when a risk takes values from the tail of its distribution. We develop a model for a risk by selecting a particular probability distribution. We may have estimated this distribution through statistical analysis of empirical data. In this case EVT is a tool which attempts to provide us with the best possible estimate of the tail area of the distribution. However, even in the absence of useful historical data, EVT provides guidance on the kind of distribution we should select so that extreme risks are handled conservatively. 1.2 Measuring Extreme Risks For our purposes, measuring a risk means summarising its distribution with a number known as a risk measure. At the simplest level, we might calculate the mean or variance of a risk. These measure aspects of the risk but do not provide much information about the extreme risk. In this paper we will concentrate on two measures which attempt to describe the tail of a loss distribution VaR and expected shortfall. We shall adopt the convention that a loss is a positive number and a pro t is a negative number. EVT is most naturally developed as a theory of large losses, rather than a theory of small pro ts. VaR is a high quantile of the distribution of losses, typically the 95th or 99th percentile. It provides a kind of upper bound for a loss that is only exceeded on a small proportion of occasions. It is sometimes referred to as a con dence level, although this is a misnomer which is at odds with standard statistical usage. In recent papers Artzner, Delbaen, Eber & Heath (1997) have criticized VaR as a measure of risk on two grounds. First they show that VaR is not necessarily subadditive so that, in their terminology, VaR is not a coherent risk measure. There are cases where a portfolio can be split into sub-portfolios such that the sum of the VaR corresponding to the sub-portfolios is smaller than the VaR of the total portfolio. This may cause problems if the risk-management system of a nancial institution is based on VaR-limits for individual books. Moreover, VaR tells us nothing about the potential size of the loss that exceeds it. Artzner et al. propose the use of expected shortfall or tail conditional expectation instead 2 of VaR. The tail conditional expectation is the expected size of a loss that exceeds VaR and is coherent according to their de nition. 1.3 Extreme Value Theory The approach to EVT in this paper follows most closely Embrechts, Kl uppelberg & Mikosch (1997); other recent texts on EVT include Reiss & Thomas (1997) and Beirlant, Teugels & Vynckier (1996). All of these texts emphasize applications of the theory in insurance and nance although much of the original impetus for the development of the methods came from hydrology. Broadly speaking, there are two principal kinds of model for extreme values. The oldest group of models are the block maximamodels; these are models for the largest observations collected from large samples of identically distributed observations. For example, if we record daily or hourly losses and pro ts from trading a particular instrument or group of instruments, the block maxima method provides a model which may be appropriate for the quarterly or annual maximum of such values. We see a possible role for this method in the de nition and analysis of stress losses (McNeil 1998) and will return to this subject in Section 4.1. A more modern group of models are the peaks-over-threshold (POT) models; these are models for all large observations which exceed a high threshold. The POT models are generally considered to be the most useful for practical applications, due to their more eÆcient use of the (often limited) data on extreme values. This paper will concentrate on such models. Within the POT class of models one may further distinguish two styles of analysis. There are the semi-parametric models built around the Hill estimator and its relatives (Beirlant et al. 1996, Danielsson, Hartmann & de Vries 1998) and the fully parametric models based on the generalized Pareto distribution or GPD (Embrechts, Resnick & Samorodnitsky 1998). There is little to pick and choose between these approaches both are theoretically justi ed and empirically useful when used correctly. We favour the latter style of analysis for reasons of simplicity both of exposition and implementation. One obtains simple parametric formulae for measures of extreme risk for which it is relatively easy to give estimates of statistical error using the techniques of maximum likelihood inference. The GPD will thus be the main tool we describe in this paper. It is simply another probability distribution but for purposes of risk management it should be considered as equally important as (if not more important than) the Normal distribution. The tails of the Normal distribution are too thin to address the extreme loss. We will not describe the Hill estimator approach in this paper; we refer the reader to the references above and also to Danielsson & de Vries (1997). 2 General Theory Let X1; X2; : : : be identically distributed random variables with unknown underlying distribution function F (x) = PfXi xg. (We work with distribution functions and not densities.) The interpretation of these random risks is left to the reader. They might be: Daily (negative) returns on nancial asset or portfolio { losses and pro ts Higher or lower frequency returns 3 Operational losses Catastrophic insurance claims Credit losses Moreover, they might represent risks which we can directly observe or they might also represent risks which we are forced to simulate in some Monte Carlo procedure, because of the impracticality of obtaining data. There are situations where, despite simulating from a known stochastic model, the complexity of the system is such that we do not know exactly what the loss distribution F is. We avoid assuming independence, which for certain of the above interpretations (particularly market returns) is well-known to be unrealistic. 2.1 Measures of Extreme Risk Mathematically we de ne our measures of extreme risk in terms of the loss distribution F . Let 1 > q 0:95 say. Value-at-Risk (VaR) is the qth quantile of the distribution F VaRq = F (q); where F 1 is the inverse of F , and expected shortfall is the expected loss size, given that VaR is exceeded ESq = E [X j X > VaRq] : Like F itself these are theoretical quantities which we will never know. Our goal in risk measurement is estimates d VaRq and c ESq of these measures and in this chapter we obtain two explicit formulae (6) and (10). The reader who wishes to avoid mathematical theory may skim through the remaining sections of this chapter, pausing only to observe that the formulae in question are simple. 2.2 Generali","McNeill et al. as mentioned in this paper used the peaks-over-threshold (POT) model to measure the risk of a risk in a portfolio. But the model is not suitable for the case of large losses."
"Regression Estimator for the Tail Index","https://scispace.com/paper/regression-estimator-for-the-tail-index-3u64pegeia","2020","Journal Article","Journal of statistical theory and practice","László Németh
András Zempléni","10.1007/S42519-020-00114-7","https://scispace.com/pdf/regression-estimator-for-the-tail-index-3u64pegeia.pdf","Estimating the tail index parameter is one of the primal objectives in extreme value theory For heavy-tailed distributions the Hill estimator is the most popular way to estimate this parameter Several recent publications’ aim was to improve the Hill estimator, using different methods, for example the bootstrap, or the Kolmogorov–Smirnov metric These methods are asymptotically consistent, but for tail index $$\xi >05$$
 the estimations fail to approach the theoretical value for realistic sample sizes In this paper, we introduce new empirical methods, which combine the advantages of the Kolmogorov–Smirnov approach and the bootstrap We demonstrate that our estimators are able to estimate large tail index parameters well and might also be useful for relatively small sample sizes As an application, we consider the classic Danish fire data set and the most destructive natural disasters in Europe","In this article, the authors combine the advantages of the Kolmogorov-Smirnov approach and the bootstrap to estimate large tail index parameters well and might also be useful for relatively small sample sizes."
"Performance Analysis of VaR and ES Based on Extreme Value Theory","https://scispace.com/paper/performance-analysis-of-var-and-es-based-on-extreme-value-2byqw2kzd2","2006","Journal Article","Communications for Statistical Applications and Methods","Sung-Chil Yeo","10.5351/CKSS.2006.13.2.389","","Extreme value theory has been used widely in many areas of science and engineering to deal with the assessment of extreme events which are rare but have catastrophic consequences. The potential of extreme value theory has only been recognized recently in finance area. In this paper, we provide an overview of extreme value theory for estimating and assessing value at risk and expected shortfall which are the methods for modelling and measuring the extreme financial risks. We illustrate that the approach based on extreme value theory is very useful for estimating tail related risk measures through backtesting of an empirical data.","In this paper, the authors provide an overview of extreme value theory for estimating and assessing value at risk and expected shortfall which are the methods for modelling and measuring the extreme financial risks. And they illustrate that the approach based on Extreme value theory is very useful for estimating tail related risk measures through backtesting of an empirical data."
