"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Results"
"Application of Extreme Value Theory to Economic Capital Estimation","https://scispace.com/papers/application-of-extreme-value-theory-to-economic-capital-3fsr4uozqi","2010","Book Chapter","","Samit Paul
Andrew Barnes","10.1007/978-0-8176-4799-5_27","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to model loss tails, bootstraps EVT estimates for VaR, applies to credit portfolios; compares to noisy empirical method; lacks formal proofs; includes Monte Carlo generation of losses.","We are interested in the risk of large losses of certain common financial portfolios (e.g., credit portfolios with default risk). In these cases, we would like to estimate a risk statistic called Value-at-Risk (VaRα) at an extremely high risk level α (typically 99.99%). This high risk level corresponds to rare events for which it is difficult or impossible to obtain data. We first use Monte Carlo simulation to compute a probability distribution for the portfolio loss. We then use Extreme Value Theory (EVT) to study the tail of this loss distribution. Finally we compute the VaR and associated confidence intervals using bootstrap techniques. For the portfolios under consideration, we have observed that the EVT-based approach results in narrower confidence intervals and hence less sampling uncertainty in computing the VaR. We have also observed that the bootstrap replicate’s distribution for the EVT-based method demonstrates a better shape than the empirical method (which is typically very noisy).","The EVT-based approach for estimating VaR at high risk levels (e.g., 99.99%) results in narrower confidence intervals. This leads to less sampling uncertainty when computing VaR for financial portfolios with large loss risks. Additionally, the bootstrap replicate's distribution for the EVT-based method shows a better shape compared to the typically noisy empirical method. These findings suggest that EVT provides a more robust and precise estimation of extreme Value-at-Risk."
"The Bootstrap Methodology and Adaptive Reduced-bias Tail Index and Value-at-Risk Estimation","https://scispace.com/papers/the-bootstrap-methodology-and-adaptive-reduced-bias-tail-47kfwinrhg","2009","","","M. Ivette Gomes
Sandra Mendon
Dinis Pestana","","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT as core framework, applies bootstrap to select thresholds, estimates VaR via reduced-bias tail index; mentions insurance application but lacks method comparisons, theoretical proofs, or simulation results.","Under a semi-parametric framework, we consider second-order minimum-variance reduced-bias (MVRB) estimators of a positive extreme value index, the primary parameter in Statistics of Extremes, and associated estimation of the Value at Risk (V aR) at a level p, the size of the loss occurred with a small probability p. For these MVRB estimators, we propose the use of bootstrap computer-intensive methods for the adaptive choice of thresholds. Applications in the elds of insurance","The paper proposes using bootstrap computer-intensive methods for the adaptive choice of thresholds for second-order minimum-variance reduced-bias (MVRB) estimators. These estimators are used for a positive extreme value index and for the associated estimation of Value at Risk (VaR) at a level p. The methodology is considered under a semi-parametric framework. Applications are mentioned in the fields of insurance. The metadata does not detail specific empirical results, statistical findings, performance metrics, comparative results, or validation outcomes."
"Prediksi Risiko Kerugian Kebakaran Menggunakan Parametric Bootstrap","https://scispace.com/papers/prediksi-risiko-kerugian-kebakaran-menggunakan-parametric-40ddjkqiqwud","2025","Journal Article","Bandung Conference Series Statistics","Tribuana Dewi Anugrah
Sutawanir Darwis","10.29313/bcss.v5i2.20155","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT with POT and GPD, applies parametric bootstrap to estimate OpVaR for fire insurance losses, delivering reliable tail‑risk estimates; lacks method comparisons or theoretical proofs.","Abstract. Fire is a non-natural disaster that has a significant impact, both materially and non-materially. Extreme loss estimates are needed to support decision-making in risk mitigation and financial protection through insurance. This study aims to predict the maximum potential loss from a single extreme fire event using the Extreme Value Theory (EVT), Generalized Pareto Distribution (GPD), and parametric bootstrap approaches. The data used are fire insurance claims in Norway during the period 1972–1992, totaling 9181 incidents. The Peaks Over Threshold (POT) approach was used to identify extreme data above the threshold at the 90th percentile, which was 3602 (1000 Norwegian Kroner). The extreme data were modelled using GPD with parameter estimation via Maximum Likelihood Estimation (MLE), followed by parametric bootstrap to evaluate uncertainty and calculate Operational Value at Risk (OpVaR) at a 99% confidence level. The average OpVaR from 1000 iterations was 19920.33 (1000 Norwegian Kroner), with a 95% confidence interval between 18005.53 and 22197.63 (1000 Norwegian Kroner). The results indicate that the parametric bootstrap approach effectively enhances the reliability of the GPD model. This study contributes to the development of applied statistical methods in fire risk management and extreme event-based insurance strategy planning. Abstrak. Kebakaran merupakan bencana nonalam yang berdampak signifikan secara materi maupun nonmateri. Estimasi kerugian ekstrem diperlukan untuk mendukung pengambilan keputusan dalam mitigasi risiko dan perlindungan finansial melalui asuransi. Penelitian ini bertujuan memprediksi potensi kerugian maksimum dari satu kejadian kebakaran ekstrem menggunakan pendekatan Extreme Value Theory (EVT), Generalized Pareto Distribution (GPD), dan parametric bootstrap. Data yang digunakan adalah klaim asuransi kebakaran di Norwegia selama periode 1972–1992 sebanyak 9181 kejadian. Pendekatan Peaks Over Threshold (POT) digunakan untuk mengidentifikasi data ekstrem di atas ambang batas pada persentil ke-90, yaitu sebesar 3602 (1000 Krona Norwegia). Data ekstrem dimodelkan menggunakan GPD dengan estimasi parameter melalui Maximum Likelihood Estimation (MLE), dilanjutkan parametric bootstrap untuk mengevaluasi ketidakpastian dan menghitung Operational Value at Risk (OpVaR) pada tingkat kepercayaan 99%. Rata-rata OpVaR dari 1000 iterasi sebesar 19920.33 (1000 Krona Norwegia), dengan interval kepercayaan 95% antara 18005.53 hingga 22197.63 (1000 Krona Norwegia). Hasil menunjukkan bahwa pendekatan parametric bootstrap efektif memperkuat keandalan model GPD. Penelitian ini berkontribusi pada pengembangan metode statistik terapan dalam manajemen risiko kebakaran serta perencanaan strategi asuransi berbasis kejadian ekstrem.","The study found that the average Operational Value at Risk (OpVaR) from 1000 iterations was 19920.33 (1000 Norwegian Kroner) at a 99% confidence level. A 95% confidence interval for this OpVaR was established between 18005.53 and 22197.63 (1000 Norwegian Kroner). The parametric bootstrap approach was shown to effectively enhance the reliability of the Generalized Pareto Distribution (GPD) model. These results contribute to applied statistical methods for fire risk management and planning insurance strategies based on extreme events."
"Spectral Bootstrap for Non-Parametric Simulation of Multivariate Extreme
  Events","http://arxiv.org/abs/2509.26451v1","2025","Preprint","","Nisrine Madhar
Juliette Legrand
Maud Thomas","","http://arxiv.org/pdf/2509.26451v1","Yes","","","","","","","http://arxiv.org/abs/2509.26451v1","2025-09-30T16:07:07Z","stat.ME","stat.ME","arXiv","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT spectral representation, introduces multivariate bootstrap preserving tails, estimates VaR/ES, includes simulation study; lacks detailed alternative comparisons, domain focus, and theoretical proofs.","Inference in extreme value theory relies on a limited number of extreme observations, making estimation challenging. To address this limitation, we propose a non-parametric bootstrap procedure, the multivariate extreme spectral bootstrap procedure, relying on the spectral representation of multivariate generalized Paretodistributed random vectors. Unlike standard bootstrap methods, our approach preserves the joint tail behaviour of the data and generates additional synthetic extreme data, thereby improving the reliability of inference. We demonstrate the effectiveness of our procedure for the estimation of tail risk metrics, under both simulated and real data. The results highlight the potential of this method for enhancing risk assessment in high-dimensional extreme scenarios.","The paper proposes a multivariate extreme spectral bootstrap procedure that preserves the joint tail behavior of data and generates synthetic extreme data. The effectiveness of this procedure was demonstrated for estimating tail risk metrics using both simulated and real data. The results indicate that this method enhances the reliability of inference by addressing the limitation of limited extreme observations. This highlights the potential of the method for improving risk assessment in high-dimensional extreme scenarios."
"Beyond the Sample: Extreme Quantile and Probability Estimation","https://scispace.com/papers/beyond-the-sample-extreme-quantile-and-probability-4l68gl0eyz","1997","Posted Content","Research Papers in Economics","Jon Danielsson
Casper G. de Vries","","https://www.econstor.eu/bitstream/10419/85542/1/98016.pdf","Yes","119","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to model heavy‑tail data, applies a subsample bootstrap for threshold and quantile estimation, targets extreme probability/quantile (tail‑risk) measures, discusses convergence in probability, mentions finance/insurance applications, but lacks explicit alternative method comparison and simulation results.","textEconomic problems such as large claims analysis in insurance and value-at-risk in finance, require assessment of the probability P of extreme realizations Q. This paper provided a semi-parametric method for estimation of extreme (P, Q) combinations for data with heavy tails. We solve the long standing problem of estimating the sample treshold of where the tail of the distribution starts. This is accomplished by the combination of a control variate type device and a subsample bootstrap technique. The subsample bootstrap attains convergence in probability, whereas the full sample bootstrap would only provide convergence in distribution. This permits a complete and comprehensive treatment of extreme (P, Q) estimation.","This paper presents a semi-parametric method for estimating extreme (P, Q) combinations for heavy-tailed data. A key theoretical result is solving the problem of estimating the sample threshold for the distribution's tail. This is achieved using a control variate type device combined with a subsample bootstrap technique. The subsample bootstrap attains convergence in probability, which is a stronger statistical finding compared to the full sample bootstrap's convergence in distribution. The practical implication is a complete and comprehensive treatment for extreme (P, Q) estimation, relevant for economic problems like large claims analysis and value-at-risk."
"Empirical Analysis of Value-at-Risk Estimation Methods Using Extreme Value Theory","https://scispace.com/papers/empirical-analysis-of-value-at-risk-estimation-methods-using-va6bcv26aokt","","","","TIAN Hong-wei
ZHAN Yuan-rui
QIU Jun","10.3321/j.issn:1000-6788.2000.10.004","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to model tails, applies two-step subsample bootstrap for VaR, compares against normal/empirical methods, focuses on foreign‑exchange data; lacks formal proofs and simulation.","This paper investigates methods of value-at-risk (VaR) estimation using extreme value theory (EVT). Itcompares two different estimation methods, 。two-step subsample bootstrap' based on moment estimation and maximumlikelihood estimation (MLE), according to their theoretical bases and computation procedures. Then, the estimationresults are analyzed together with those of normal method and empirical method. The empirical research of foreignexchange data shows that the EVT methods have good characters in estimating VaR under extreme conditions and'two-step subsample bootstrap' method is preferable to MLE.","The empirical research on foreign exchange data indicates that EVT methods demonstrate good characteristics for estimating VaR under extreme conditions. Specifically, the 'two-step subsample bootstrap' method is found to be preferable to Maximum Likelihood Estimation (MLE). This study compares these EVT methods with normal and empirical methods. The findings suggest practical implications for VaR estimation in volatile market conditions."
"Which extreme values are really extreme?","https://academic.oup.com/jfec/article-abstract/2/3/349/775575","2004","Journal Article","Journal of Financial Econometrics","Jesus Gonzalo
Jose Olmo","10.1093/JJFINEC/NBH014","http://fmwww.bc.edu/RePEc/esNAWM04/up.7510.1048448319.pdf","Yes","67","ppxgbMeMWi0J","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses GPD within EVT to define extremes; applies a semiparametric bootstrap to test GPD fit; estimates tail index and VaR for financial indexes; no alternative method comparison, theoretical proofs, or simulation study; finance application highlighted.","We define the extreme values of any random sample of size n from a distribution function F as the observations exceeding a threshold and following a type of generalized Pareto distribution (GPD) involving the tail index of F. The threshold is the order statistic that minimizes a Kolmogorov-Smirnov statistic between the empirical distribution of the corresponding largest observations and the corresponding GPD. To formalize the definition we use a semiparametric bootstrap to test the corresponding GPD approximation. Finally, we use our methodology to estimate the tail index and value at risk (VaR) of some financial indexes of major stock markets.","The paper defines extreme values as observations exceeding a threshold and following a generalized Pareto distribution (GPD) involving the tail index. A semiparametric bootstrap is used to test the GPD approximation, formalizing the definition. The methodology is applied to estimate the tail index and Value at Risk (VaR) for financial indexes of major stock markets. The paper does not include a comparison with alternative methods, theoretical proofs, or a simulation study."
"The bootstrap methodology and adaptive reduced-bias tail index and Value-at-Risk estimation","http://ceaul.org/wp-content/uploads/2018/10/ASMDANC.pdf","2009","","","M. Ivette Gomes
Sandra Mendon
Dinis Pestana","","http://ceaul.org/wp-content/uploads/2018/10/ASMDANC.pdf","Yes","26","FXJQCvi2vVIJ","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to model extremes, applies bootstrap for adaptive threshold selection, estimates tail index and VaR, and demonstrates the method on insurance data.","Under a semi-parametric framework, we consider second-order minimum-variance reduced-bias (MVRB) estimators of a positive extreme value index, the primary parameter in Statistics of Extremes, and associated estimation of the Value at Risk (V aR) at a level p, the size of the loss occurred with a small probability p. For these MVRB estimators, we propose the use of bootstrap computer-intensive methods for the adaptive choice of thresholds. Applications in the elds of insurance","Not available in metadata."
"A New Method to Compute Value-at-Risk: Extreme Value Theory","https://scispace.com/papers/a-new-method-to-compute-value-at-risk-extreme-value-theory-1h6jofb0z8","2000","Posted Content","Social Science Research Network","Tian Hongwei","","","Yes","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT with a two‑step subsample bootstrap to estimate VaR for FX rates, but lacks comparisons, theoretical proofs, or simulation validation.","As an integrated method to measure finance risks, value-at-risk(VaR) has been investigated widely in recent years. This paper introduces a new model to compute VaR--Extreme Value Theory(EVT). It gives parametric estimations of the tail distribution by means of second order expansion. A procedure and program named ""two step subsample bootstrap"" was developed to find the start point of extreme and to estimate VaR. The computation result of JPY/USD foreign exchange presented at last proved that the EVT method has a good character in estimating VaR.","The paper introduces Extreme Value Theory (EVT) as a new model to compute Value-at-Risk (VaR), providing parametric estimations of the tail distribution via second-order expansion. A ""two step subsample bootstrap"" procedure and program were developed to find the extreme start point and estimate VaR. The computation results for JPY/USD foreign exchange demonstrated that the EVT method possesses a good character in estimating VaR. The study's relevance summary notes that it uses EVT with a two-step subsample bootstrap to estimate VaR for FX rates. However, it lacks comparisons with alternative methods, theoretical guarantees, or simulation validation."
"Adaptive Reduced-Bias Tail Index and VaR Estimation via the Bootstrap Methodology","https://scispace.com/papers/adaptive-reduced-bias-tail-index-and-var-estimation-via-the-2cqgetmw5n","2011","Journal Article","Communications in Statistics-theory and Methods","M. Ivette Gomes
Sandra Mendonça
Dinis Pestana","10.1080/03610926.2011.562782","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses EVT to estimate extreme value index and VaR, employs bootstrap for adaptive threshold selection, directly targets tail‑risk measures; includes finance/insurance applications, a modest simulation, and some comparative discussion.","In this article, we deal with the estimation, under a semi-parametric framework, of a positive extreme value index γ, the primary parameter in Statistics of Extremes, and associated estimation of the Value at Risk (VaR) at a level p, the size of the loss occurred with a small probability p. We consider second-order minimum-variance reduced-bias (MVRB) estimators, and propose the use of bootstrap computer-intensive methods for the adaptive choice of thresholds, both for γ and Var p . Applications in the fields of insurance and finance, as well as a small-scale simulation study of the bootstrap adaptive estimators’ behaviour, are also provided.","The paper deals with the estimation of a positive extreme value index γ and associated Value at Risk (VaR) at a level p, using second-order minimum-variance reduced-bias (MVRB) estimators. It proposes using bootstrap computer-intensive methods for the adaptive choice of thresholds for both γ and VaR p. The research includes applications in the fields of insurance and finance. A small-scale simulation study of the bootstrap adaptive estimators' behavior is also provided."
